Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2007-03-26T14:00:00Z,TLT,51.397309524,1940,Market,Filled,99710.78047656,"" 
2007-04-16T14:00:00Z,TLT,50.600280456,-1940,Market,Filled,-98164.54408464,"Liquidated" 
2007-04-16T14:00:00Z,IEF,53.021904324,1851,Market,Filled,98143.544903724,"" 
2007-04-26T14:00:00Z,IEF,53.537055204,-1851,Market,Filled,-99097.089182604,"Liquidated" 
2007-04-26T14:00:00Z,SHY,60.429716152,1640,Market,Filled,99104.73448928,"" 
2008-04-25T14:00:00Z,SHY,64.995509448,-1640,Market,Filled,-106592.63549472,"Liquidated" 
2008-04-25T14:00:00Z,TLH,66.892302288,1593,Market,Filled,106559.43754478,"" 
2008-04-30T14:00:00Z,TLH,67.133630256,-1593,Market,Filled,-106943.87299781,"Liquidated" 
2008-05-01T14:00:00Z,TLT,56.692424448,1886,Market,Filled,106921.91250893,"" 
2008-05-05T14:00:00Z,TLT,55.975093311,-1886,Market,Filled,-105569.02598455,"Liquidated" 
2008-07-11T14:00:00Z,TLT,57.54421035,1834,Market,Filled,105536.0817819,"" 
2008-11-05T15:00:00Z,TLT,58.942088964,-1834,Market,Filled,-108099.79115998,"Liquidated" 
2008-11-05T15:00:00Z,SHY,67.0484976,1612,Market,Filled,108082.1781312,"" 
2009-02-09T15:00:00Z,SHY,67.624240257,-1612,Market,Filled,-109010.27529428,"Liquidated" 
2009-03-30T14:00:00Z,IEF,66.923857036,1628,Market,Filled,108952.03925461,"" 
2009-05-04T14:00:00Z,IEF,65.296373948,-1628,Market,Filled,-106302.49678734,"Liquidated" 
2009-05-04T14:00:00Z,SHY,67.822850678,1568,Market,Filled,106346.2298631,"" 
2009-06-10T14:00:00Z,SHY,67.442410544,-1568,Market,Filled,-105749.69973299,"Liquidated" 
2009-07-13T14:00:00Z,SHY,68.166015728,1551,Market,Filled,105725.49039413,"" 
2009-08-25T14:00:00Z,SHY,68.070187425,-1551,Market,Filled,-105576.86069618,"Liquidated" 
2009-08-25T14:00:00Z,IEI,85.753758447,1231,Market,Filled,105562.87664826,"" 
2010-01-04T15:00:00Z,IEI,86.35152224,-1231,Market,Filled,-106298.72387744,"Liquidated" 
2010-02-03T15:00:00Z,SHY,68.82877498,1544,Market,Filled,106271.62856912,"" 
2010-03-29T14:00:00Z,SHY,68.700786672,-1544,Market,Filled,-106074.01462157,"Liquidated" 
2010-03-29T14:00:00Z,IEI,87.312731004,1215,Market,Filled,106084.96816986,"" 
2010-04-01T14:00:00Z,IEI,87.525228186,-1215,Market,Filled,-106343.15224599,"Liquidated" 
2010-05-04T14:00:00Z,TLT,60.66833892,1752,Market,Filled,106290.92978784,"" 
2010-10-21T14:00:00Z,TLT,68.5426278,-1752,Market,Filled,-120086.6839056,"Liquidated" 
2010-10-21T14:00:00Z,IEF,73.515336678,1633,Market,Filled,120050.54479517,"" 
2010-11-19T15:00:00Z,IEF,71.825089644,-1633,Market,Filled,-117290.37138865,"Liquidated" 
2010-11-19T15:00:00Z,SHY,69.945263892,1677,Market,Filled,117298.20754688,"" 
2010-11-26T15:00:00Z,SHY,69.887121528,-1677,Market,Filled,-117200.70280246,"Liquidated" 
2011-01-27T15:00:00Z,SHY,69.863894178,1677,Market,Filled,117161.75053651,"" 
2011-02-14T15:00:00Z,SHY,69.60404748,-1677,Market,Filled,-116725.98762396,"Liquidated" 
2011-03-14T14:00:00Z,TLH,79.306429105,1472,Market,Filled,116739.06364256,"" 
2011-10-31T14:00:00Z,TLH,91.181047711,-1472,Market,Filled,-134218.50223059,"Liquidated" 
2011-11-01T14:00:00Z,TLT,81.187645568,1652,Market,Filled,134121.99047834,"" 
2011-11-09T15:00:00Z,TLT,81.320450447,-1652,Market,Filled,-134341.38413844,"Liquidated" 
2011-11-15T15:00:00Z,SHY,70.833326904,1896,Market,Filled,134299.98780998,"" 
2012-02-28T15:00:00Z,SHY,70.820715926,-1896,Market,Filled,-134276.0773957,"Liquidated" 
2012-02-28T15:00:00Z,IEI,99.585429328,1348,Market,Filled,134241.15873414,"" 
2012-03-12T14:00:00Z,IEI,99.44678898,-1348,Market,Filled,-134054.27154504,"Liquidated" 
2012-03-13T14:00:00Z,IEF,80.30669374,1670,Market,Filled,134112.1785458,"" 
2012-03-14T14:00:00Z,IEF,79.723482204,-1670,Market,Filled,-133138.21528068,"Liquidated" 
2012-04-20T14:00:00Z,SHY,70.892105422,1877,Market,Filled,133064.48187709,"" 
2012-07-02T14:00:00Z,SHY,70.897113874,-1877,Market,Filled,-133073.8827415,"Liquidated" 
2012-07-02T14:00:00Z,IEI,100.706269636,1321,Market,Filled,133032.98218916,"" 
2012-08-24T14:00:00Z,IEI,101.01527744,-1321,Market,Filled,-133441.18149824,"Liquidated" 
2012-08-27T14:00:00Z,SHY,70.991232756,1880,Market,Filled,133463.51758128,"" 
2012-09-12T14:00:00Z,SHY,71.019806715,-1880,Market,Filled,-133517.2366242,"Liquidated" 
2012-09-14T14:00:00Z,SHY,71.045035776,1879,Market,Filled,133493.6222231,"" 
2012-10-31T14:00:00Z,SHY,70.979418126,-1879,Market,Filled,-133370.32665875,"Liquidated" 
2012-10-31T14:00:00Z,IEI,100.982753334,1321,Market,Filled,133398.21715421,"" 
2012-11-02T14:00:00Z,IEI,101.14120888,-1321,Market,Filled,-133607.53693048,"Liquidated" 
2012-11-13T15:00:00Z,TLH,102.169228278,1307,Market,Filled,133535.18135935,"" 
2013-01-02T15:00:00Z,TLH,100.114345936,-1307,Market,Filled,-130849.45013835,"Liquidated" 
2013-01-03T15:00:00Z,IEF,83.32130331,1571,Market,Filled,130897.76750001,"" 
2013-01-04T15:00:00Z,IEF,82.88526995,-1571,Market,Filled,-130212.75909145,"Liquidated" 
2013-01-04T15:00:00Z,SHY,71.04932948,1832,Market,Filled,130162.37160736,"" 
2013-06-03T14:00:00Z,SHY,71.099813928,-1832,Market,Filled,-130254.8591161,"Liquidated" 
2013-08-01T14:00:00Z,SHY,71.150407338,1831,Market,Filled,130276.39583588,"" 
2013-09-06T14:00:00Z,SHY,70.922673936,-1831,Market,Filled,-129859.41597682,"Liquidated" 
2013-10-03T14:00:00Z,SHY,71.2516473,1822,Market,Filled,129820.5013806,"" 
2013-12-30T15:00:00Z,SHY,71.251619568,-1822,Market,Filled,-129820.4508529,"Liquidated" 
2014-01-21T15:00:00Z,TLT,78.911982396,1645,Market,Filled,129810.21104142,"" 
2014-09-29T14:00:00Z,TLT,88.578054981,-1645,Market,Filled,-145710.90044374,"Liquidated" 
2014-10-09T14:00:00Z,SHY,71.759162476,2030,Market,Filled,145671.09982628,"" 
2014-12-09T15:00:00Z,SHY,71.657408121,-2030,Market,Filled,-145464.53848563,"Liquidated" 
2014-12-09T15:00:00Z,IEI,102.418640472,1420,Market,Filled,145434.46947024,"" 
2015-03-05T15:00:00Z,IEI,103.28940468,-1420,Market,Filled,-146670.9546456,"Liquidated" 
2015-03-06T15:00:00Z,SHY,71.852411056,2041,Market,Filled,146650.7709653,"" 
2015-03-09T14:00:00Z,SHY,71.750540908,-2041,Market,Filled,-146442.85399323,"Liquidated" 
